,price,address,house_type,bedroom
0,"£196,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Greystoke,
Ponteland,
NE20 0AL",Semi-Detached,×3
1,"£389,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","120 High Street
Gosforth
Newcastle Upon Tyne
NE3 1HB",Detached,×4
2,"£350,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","6 Cheviot House,
Manor Walks,
Cramlington,
NE23 6RT",Detached,×4
3,"£200,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","582 Durham Road,
Low Fell,
Gateshead,
NE9 6HX",Semi-Detached,×3
4,"£335,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Beacon Lane,
Cramlington,
NE23 8AZ",House,×4
5,"£190,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Beacon Lane,
Cramlington,
NE23 8AZ",House,×3
6,"£314,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Beacon Lane,
Cramlington,
NE23 8AZ",House,×4
7,"£237,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Off Beacon Lane,
Cramlington,
NE23 8AZ",House,×3
8,"£214,995Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","St. Michaels Avenue,
New Hartley,
NE25",Terraced,×3
9,"£125,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Sanderson Mews
4 Beaconsfield Road
Gateshead
NE9 5EU ",Terraced,×3
10,"£235,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","29
Princes Road
North Gosforth
Newcastle Upon Tyne
NE3 5TT",Semi-Detached,×3
11,"£235,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","22 Station Road North,
Forest Hall, 
Newcastle Upon Tyne,
NE12 9AD",Semi-Detached,×3
12,"£149,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","29
Princes Road
North Gosforth
Newcastle Upon Tyne
NE3 5TT",Terraced,×3
13,"£220,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","11 West Road
Ponteland
Newcastle upon Tyne
Northumberland
NE20 9SU",Semi-Detached,×4
14,"£145,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","17a Station Road North,
Newcastle Upon Tyne,
NE12 7AR",Semi-Detached,×3
15,"£330,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","38 Acorn Road,
Jesmond,
Newcastle Upon Tyne,
NE2 2DJ",End of Terrace,×2
16,"£129,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","2A Station Terrace,
East Boldon,
Tyne & Wear
NE36 0LJ",Terraced,×2
17,"£625,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Ilfracombe Gardens,
Whitley Bay,
NE26 3ND",Semi-Detached,×4
18,"£165,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","22 Main Street,
Crawcrook,
NE40 4NB",Semi-Detached,×3
19,"£165,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","2 Grange Road,
Ryton,
NE40 3LT",Semi-Detached,×3
20,"£160,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4 Fellside Road
Whickham
NE16 4JU ",Detached,×2
