,price,address,house_type,bedroom
0,"£269,950Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","122 Fowler Street,
South Shields,
NE33 1PZ",Bungalow,×2
1,"£85,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Flat,×2
2,"£125,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Link Detached House,×3
3,"£160,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Flat,×1
4,"£160,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",Flat,×2
5,"£175,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","84 Park View,
Whitley Bay,
NE26 2TH",House,×3
6,"£35,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","4A Athenaeum Street,
Sunderland,
SR1 1QX",Flat,×1
7,"£80,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Unit K The Galleries,
Washington Centre,
Washington,
NE38 7SD",Link Detached House,×3
8,"£142,500Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Station Terrace,
East Boldon,
NE36 0LJ",Apartment,×2
9,"£125,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","122 Fowler Street,
South Shields,
NE33 1PZ",End of Terrace,×3
10,"£110,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.",Suite 7 First Floor Cranmore Drive Shirley Solihull B90 4RZ,Terraced,×3
11,"£145,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","  
 
2a Hawkeys Lane
North Shields
NE29 0JF 
 ",Terraced,×3
12,"£160,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Bridge End Chambers, Front Street,
Chester Le Street,
DH3 3QY",Semi-Detached,×3
13,"£67,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","157 High Street East,
Wallsend,
NE28 7RL",Ground Flat,×2
14,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","5 Ashfield Terrace
Chester Le Street
DH3 3PD 
 ",Semi-Detached,×3
15,"£135,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","1 Ilfracombe Gardens,
Whitley Bay,
NE26 3ND",Flat,×2
16,"£325,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","Head Office, 
32 Beach Avenue, 
Tyne and Wear, 
NE26 1EA",End of Terrace,×3
17,"£190,000Knowing the purchase price means you can work out the total cost of buying the property.Read more about property price in our glossary page.","425 Durham Road,
Low Fell,
Gateshead,
NE9 5AN",Cottage,×2
